"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
112.489998,113.75,112.01,113.539995,143102400,15.021168
114.020006,115.000002,112.59,112.889994,227843700,14.935173
112.810005,114.460003,110.370003,110.689997,221840500,14.644117
112,113.780001,111.500002,113.619997,158239900,15.031752
114.450003,114.859999,112.690002,114.35,161423500,15.12833
114.299999,118.879997,113.529995,118.769995,369611200,15.713089
120.069998,122.170006,119.539999,121.189997,324266600,16.033251
121.099995,121.189997,118.289997,118.4,221315500,15.664139
118.630005,121.729996,117.900002,121.33,221668300,16.051773
121.410002,122.690004,120.499994,122.670004,230196400,16.229054
122.299995,124.049995,121.950001,123.639999,278060300,16.357383
124.990004,127.609997,123.190002,124.069996,478769900,16.414271
125.819996,125.829996,122.289995,124.490005,310420600,16.469837
126,126.150003,119.539999,120.190001,468564600,15.900953
119.349995,121.709995,118.309998,120.380005,356641600,15.92609
121.149996,121.189997,115.399998,117.500006,430338300,15.545071
117.199999,119.449997,116.419994,118.749994,243316500,15.710443
120.619997,120.669998,119.860006,120.499994,202804700,15.941965
123.280005,125.179995,122.540001,125.090006,227651200,16.549216
124.689997,125.010004,122.909996,123.66,235756500,16.360029
123.870005,124.659996,121.500004,121.550005,224378000,16.08088
121.699995,124.290001,120.719999,123.900005,216761300,16.391781
123.850004,124.450005,122.379997,122.999998,157969000,16.272712
124.189999,125.090006,121.059994,122.339996,241350900,16.185394
123.979994,123.999994,118.719994,119.650002,336251300,15.829512
120.609997,122.040003,119.260006,121.889999,243674200,16.12586
122.359997,122.49,119.999996,120.559996,209535900,15.949903
121.970001,123.999994,121.089994,122.040003,284460400,16.145706
121.049994,122.090004,119.299994,121.259998,248715600,16.042512
122.000002,127.400005,121.500004,127.17,290620400,16.824396
128.799997,132.969999,128.689995,132.749994,363262900,17.562621
133.130003,133.339994,130.399994,132.299997,218673700,17.503087
132.379999,132.899998,129.180006,130.330006,248955000,17.24246
128.879999,134.499994,128.809998,132.349998,313751900,17.509702
132.070005,133.700003,131.310001,132.389999,205443000,17.514994
133.850006,134.240002,132.389999,134.069998,176152200,17.737256
135.030006,137.850004,134.519995,137.730001,226901500,18.221468
138.390003,139.98,137.499996,138.099997,234028200,18.270418
138.300001,139.600004,137.499996,138.910002,177489900,18.377581
138.189999,138.440004,136.040003,138.119997,189214200,18.273064
